date,time,team1Name,team1Points,team2Name,team2Points,venue,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
01/Jan/2017,14:30,Bristol,24,Sale,23,AJ Bell Stadium,Ian Tempest,47,W,N,14,Sun,Jan,2017,2016-17,0,1,3,3,1,0,3,1,2,0
01/Jan/2017,15:00,Gloucester,12,Northampton,13,Kingsholm,Matthew Carley,25,L,N,15,Sun,Jan,2017,2016-17,1,0,0,0,4,0,1,1,2,0
01/Jan/2017,15:00,Northampton,13,Gloucester,12,Kingsholm,Matthew Carley,25,W,N,15,Sun,Jan,2017,2016-17,0,1,1,1,2,0,0,0,4,0
01/Jan/2017,15:00,Leicester,12,Saracens,16,Welford Road,JP Doyle,28,L,N,15,Sun,Jan,2017,2016-17,1,0,0,0,4,0,1,1,3,0
01/Jan/2017,15:00,Saracens,16,Leicester,12,Welford Road,JP Doyle,28,W,N,15,Sun,Jan,2017,2016-17,0,1,1,1,3,0,0,0,4,0
01/Jan/2017,15:00,Worcester,24,Harlequins,17,Sixways,Luke Pearce,41,W,N,15,Sun,Jan,2017,2016-17,0,1,2,1,4,0,2,2,1,0
01/Jan/2017,15:00,Harlequins,17,Worcester,24,Sixways,Luke Pearce,41,L,N,15,Sun,Jan,2017,2016-17,1,0,2,2,1,0,2,1,4,0
06/Jan/2017,19:45,Newcastle,24,Bath,22,Kingston Park,Greg Garner,46,W,N,19,Fri,Jan,2017,2016-17,0,1,3,3,1,0,3,2,1,0
06/Jan/2017,19:45,Bath,22,Newcastle,24,Kingston Park,Greg Garner,46,L,N,19,Fri,Jan,2017,2016-17,1,0,3,2,1,0,3,3,1,0
07/Jan/2017,15:00,Saracens,13,Exeter,13,Allianz Park,Ian Tempest,26,D,N,15,Sat,Jan,2017,2016-17,0,0,1,1,2,0,1,1,2,0
07/Jan/2017,15:00,Exeter,13,Saracens,13,Allianz Park,Ian Tempest,26,D,N,15,Sat,Jan,2017,2016-17,0,0,1,1,2,0,1,1,2,0
07/Jan/2017,15:00,Northampton,32,Bristol,26,Franklin's Gardens,Andrew Jackson,58,W,N,15,Sat,Jan,2017,2016-17,1,1,4,3,1,1,2,2,4,0
07/Jan/2017,15:00,Bristol,26,Northampton,32,Franklin's Gardens,Andrew Jackson,58,L,N,15,Sat,Jan,2017,2016-17,1,1,2,2,4,0,4,3,1,1
07/Jan/2017,15:00,Harlequins,29,Sale,26,Twickenham Stoop,JP Doyle,55,W,N,15,Sat,Jan,2017,2016-17,0,1,2,2,5,0,3,1,3,0
07/Jan/2017,15:00,Sale,26,Harlequins,29,Twickenham Stoop,JP Doyle,55,L,N,15,Sat,Jan,2017,2016-17,1,0,3,1,3,0,2,2,5,0
07/Jan/2017,15:00,Gloucester,55,Worcester,19,Kingsholm,Wayne Barnes,74,W,N,15,Sat,Jan,2017,2016-17,1,0,7,7,2,0,3,2,0,0
07/Jan/2017,15:00,Worcester,19,Gloucester,55,Kingsholm,Wayne Barnes,74,L,N,15,Sat,Jan,2017,2016-17,0,1,3,2,0,0,7,7,2,0
