date,time,team1Name,team1Points,team2Name,team2Points,venue,teamType,referee,totalPoints,result,extraTime,hour,day,month,year,season,team1Bps,team2Bps,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals
16/Oct/2022,15:00,Leicester,27,Harlequins,19,Twickenham Stoop,away,Adam Leal,46,W,N,15,Sun,Oct,2022,2022-23,1,0,4,2,1,0,3,2,0,0
21/Oct/2022,19:45,London Irish,21,Gloucester,22,Gtech Community Stadium,home,Matthew Carley,43,L,N,19,Fri,Oct,2022,2022-23,1,0,2,1,3,0,3,2,0,1
21/Oct/2022,19:45,Gloucester,22,London Irish,21,Gtech Community Stadium,away,Matthew Carley,43,W,N,19,Fri,Oct,2022,2022-23,0,1,3,2,0,1,2,1,3,0
22/Oct/2022,15:00,Bath,27,Northampton,14,Recreation Ground,home,Anthony Woodthorpe,41,W,N,15,Sat,Oct,2022,2022-23,0,0,3,3,2,0,2,2,0,0
22/Oct/2022,15:00,Northampton,14,Bath,27,Recreation Ground,away,Anthony Woodthorpe,41,L,N,15,Sat,Oct,2022,2022-23,0,0,2,2,0,0,3,3,2,0
22/Oct/2022,15:00,Exeter,20,Saracens,22,Sandy Park,home,Tom Foley,42,L,N,15,Sat,Oct,2022,2022-23,1,0,2,1,2,0,1,1,5,0
22/Oct/2022,15:00,Saracens,22,Exeter,20,Sandy Park,away,Tom Foley,42,W,N,15,Sat,Oct,2022,2022-23,0,1,1,1,5,0,2,1,2,0
23/Oct/2022,15:00,Leicester,Cancelled,Wasps,Cancelled,Welford Road,home,Unknown,N/A,N/A,N,15,Sun,Oct,2022,2022-23,0,0,0,0,0,0,0,0,0,0
23/Oct/2022,15:00,Wasps,Cancelled,Leicester,Cancelled,Welford Road,away,Unknown,N/A,N/A,N,15,Sun,Oct,2022,2022-23,0,0,0,0,0,0,0,0,0,0
23/Oct/2022,15:00,Sale,13,Harlequins,29,AJ Bell Stadium,home,Christophe Ridley,42,L,N,15,Sun,Oct,2022,2022-23,0,0,1,1,2,0,2,2,5,0
23/Oct/2022,15:00,Harlequins,29,Sale,13,AJ Bell Stadium,away,Christophe Ridley,42,W,N,15,Sun,Oct,2022,2022-23,0,0,2,2,5,0,1,1,2,0
28/Oct/2022,19:45,Gloucester,38,Exeter,22,Kingsholm,home,Adam Leal,60,W,N,19,Fri,Oct,2022,2022-23,1,0,6,4,0,0,3,2,1,0
28/Oct/2022,19:45,Exeter,22,Gloucester,38,Kingsholm,away,Adam Leal,60,L,N,19,Fri,Oct,2022,2022-23,0,1,3,2,1,0,6,4,0,0
29/Oct/2022,15:00,Harlequins,26,London Irish,24,Twickenham Stoop,home,Craig Maxwell-Keys,50,W,N,15,Sat,Oct,2022,2022-23,1,1,4,3,0,0,3,3,1,0
29/Oct/2022,15:00,London Irish,24,Harlequins,26,Twickenham Stoop,away,Craig Maxwell-Keys,50,L,N,15,Sat,Oct,2022,2022-23,1,1,3,3,1,0,4,3,0,0
29/Oct/2022,15:00,Northampton,45,Bristol,31,Franklin's Gardens,home,Hamish Smales,76,W,N,15,Sat,Oct,2022,2022-23,1,1,6,6,1,0,5,3,0,0
29/Oct/2022,15:00,Bristol,31,Northampton,45,Franklin's Gardens,away,Hamish Smales,76,L,N,15,Sat,Oct,2022,2022-23,1,1,5,3,0,0,6,6,1,0
30/Oct/2022,15:00,Saracens,33,Sale,22,StoneX Stadium,home,Wayne Barnes,55,W,N,15,Sun,Oct,2022,2022-23,1,0,4,2,3,0,3,1,1,0
30/Oct/2022,15:00,Sale,22,Saracens,33,StoneX Stadium,away,Wayne Barnes,55,L,N,15,Sun,Oct,2022,2022-23,0,1,3,1,1,0,4,2,3,0
04/Nov/2022,19:45,Northampton,26,Exeter,19,Franklin's Gardens,home,Craig Maxwell-Keys,45,W,N,19,Fri,Nov,2022,2022-23,0,1,2,2,4,0,3,2,0,0
