,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Results,avgAwayLast5Results,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
43,2012-03-02,19:45,Newcastle,9,Harlequins,9,Kingston Park,Andrew Small,18,D,Mar,2012,2011-12,23.09,18.39,41.47,25.17,22.66,22.71,16.73,16.73,17.6,18.27,18.7,19.5,18.91,42.77,40.93,41.41,36.23,21.33,12.6,15.36,16.73,21.0,17.0,16.6,19.55,13.5,13.5,12.6,16.6,21.0,13.5,31.818181818181817%,45.45454545454545%
44,2010-10-01,19:45,Sale,24,Wasps,25,Edgeley Park,N/A,49,A,Oct,2010,2010-11,23.09,18.39,41.47,21.63,23.75,23.46,21.29,21.23,18.66,18.05,18.07,22.81,14.18,40.29,41.8,41.53,44.1,16.67,22.5,21.45,21.29,35.0,16.5,16.0,12.82,29.5,29.5,19.2,17.8,35.0,29.5,54.54545454545454%,22.727272727272727%
45,2012-02-24,19:45,Sale,46,Wasps,34,Edgeley Park,Sean Davey,80,H,Feb,2012,2011-12,23.09,18.39,41.47,19.94,22.66,22.71,21.29,21.23,16.39,18.27,18.7,22.81,14.18,36.33,40.93,41.41,44.1,21.0,19.2,21.0,21.29,35.0,23.0,17.8,15.55,29.5,29.5,19.2,17.8,35.0,29.5,54.54545454545454%,22.727272727272727%
46,2011-05-07,15:00,Exeter,21,Wasps,8,Sandy Park,Llyr Apgeraint-Roberts,29,H,May,2011,2010-11,23.09,18.39,41.47,28.28,23.01,23.46,18.45,18.45,16.17,18.59,18.07,14.0,14.18,44.44,41.59,41.53,32.45,21.0,18.0,18.09,18.45,21.0,8.0,11.55,12.82,9.5,9.5,19.6,17.8,21.0,9.5,59.09090909090909%,22.727272727272727%
47,2011-09-25,15:00,Exeter,21,Wasps,11,Sandy Park,Martin Fox,32,H,Sep,2011,2011-12,23.09,18.39,41.47,25.45,23.01,22.71,18.45,18.45,19.71,18.59,18.7,14.0,14.18,45.16,41.59,41.41,32.45,24.25,18.0,18.82,18.45,21.0,17.0,11.55,15.55,9.5,9.5,19.6,17.8,21.0,9.5,59.09090909090909%,22.727272727272727%
48,2011-04-03,15:00,London Irish,25,Wasps,12,Madejski Stadium,Chris White,37,H,Apr,2011,2010-11,23.09,18.39,41.47,23.0,23.01,23.46,27.95,28.0,23.36,18.59,18.07,21.65,14.18,46.36,41.59,41.53,49.6,21.33,26.67,26.82,27.95,23.0,13.67,11.55,12.82,14.5,14.5,29.4,17.8,23.0,14.5,63.63636363636363%,22.727272727272727%
49,2011-11-26,15:00,London Irish,21,Wasps,17,Madejski Stadium,Sean Davey,38,H,Nov,2011,2011-12,23.09,18.39,41.47,22.12,23.01,22.71,27.95,28.0,16.88,18.59,18.7,21.65,14.18,39.0,41.59,41.41,49.6,21.0,26.67,29.18,27.95,23.0,14.0,11.55,15.55,14.5,14.5,29.4,17.8,23.0,14.5,63.63636363636363%,22.727272727272727%
50,2011-03-27,13:45,Northampton,39,Wasps,3,Franklin's Gardens,N/A,42,H,Mar,2011,2010-11,23.09,18.39,41.47,25.17,23.01,23.46,28.73,28.73,17.6,18.59,18.07,16.41,14.18,42.77,41.59,41.53,45.14,35.5,27.92,29.18,28.73,35.5,9.0,11.55,12.82,9.0,9.0,28.6,17.8,35.5,9.0,77.27272727272727%,22.727272727272727%
51,2012-03-24,17:45,Northampton,32,Wasps,15,Franklin's Gardens,Tim Wigglesworth,47,H,Mar,2012,2011-12,23.09,18.39,41.47,25.17,22.66,22.71,28.73,28.73,17.6,18.27,18.7,16.41,14.18,42.77,40.93,41.41,45.14,35.5,28.6,28.27,28.73,35.5,9.0,17.8,15.55,9.0,9.0,28.6,17.8,35.5,9.0,77.27272727272727%,22.727272727272727%
52,2010-10-31,15:00,Leeds,8,Wasps,17,Headingley,Dean Richards,25,A,Oct,2010,2010-11,23.09,18.39,41.47,21.63,23.75,23.46,12.73,12.73,18.66,18.05,18.07,21.18,14.18,40.29,41.8,41.53,33.91,5.5,10.25,12.73,12.73,8.0,16.5,16.0,12.82,17.0,17.0,15.0,17.8,8.0,17.0,27.27272727272727%,22.727272727272727%
