,date,time,team1Name,team1Score,team2Name,team2Score,venue,referee,totalScore,winner,day,month,year,season,avgHomeScore,avgAwayScore,avgTotalScore,avgHomeScoreByMonth,avgHomeScoreByYear,avgHomeScoreBySeason,avgHomeScoreByVenue,avgHomeScoreByTeam,avgAwayScoreByMonth,avgAwayScoreByYear,avgAwayScoreBySeason,avgAwayScoreByVenue,avgAwayScoreByTeam,avgTotalScoreByMonth,avgTotalScoreByYear,avgTotalScoreBySeason,avgTotalScoreByVenue,avgHomeScoreByTeamByMonth,avgHomeScoreByTeamByYear,avgHomeScoreByTeamBySeason,avgHomeScoreByTeamByVenue,avgHomeScoreByTeamAgainstOpponent,avgAwayScoreByTeamByMonth,avgAwayScoreByTeamByYear,avgAwayScoreByTeamBySeason,avgAwayScoreByTeamByVenue,avgAwayScoreByTeamAgainstOpponent,avgHomeLast5Scores,avgHomeLast5ScoresAgainst,avgHomeLast3ResultsAgainstOpponent,avgAwayLast3ResultsAgainstOpponent,homeWinPercentage,awayWinPercentage
35,2022-02-19,15:00,Harlequins,29,Wasps,24,Twickenham Stoop,Craig Maxwell-Keys,53,H,Sat,Feb,2022,2021-22,25.53,20.79,46.32,24.06,28.22,27.83,25.92,26.66,19.15,24.39,23.63,21.85,22.14,43.21,52.61,51.46,47.76,23.43,23.91,27.92,26.45,25.25,24.65,24.9,23.0,23.36,22.5,22.0,25.2,33.33,34.0,68.88888888888889%,36.36363636363637%
36,2011-04-03,15:00,London Irish,25,Wasps,12,Madejski Stadium,Chris White,37,H,Sun,Apr,2011,2010-11,25.53,20.79,46.32,26.81,23.01,23.46,23.59,24.29,23.7,18.59,18.07,24.28,22.14,50.51,41.59,41.53,47.87,22.27,26.67,26.82,23.59,26.0,23.69,11.55,12.82,22.86,27.4,23.0,17.6,34.67,39.0,40.74074074074074%,36.36363636363637%
37,2011-11-26,15:00,London Irish,21,Wasps,17,Madejski Stadium,Sean Davey,38,H,Sat,Nov,2011,2011-12,25.53,20.79,46.32,22.73,23.01,22.71,23.59,24.29,18.47,18.59,18.7,24.28,22.14,41.2,41.59,41.41,47.87,18.33,26.67,29.18,23.59,26.0,18.67,11.55,15.55,22.86,27.4,28.8,24.2,34.67,39.0,40.74074074074074%,36.36363636363637%
38,2013-02-24,15:00,London Irish,30,Wasps,19,Madejski Stadium,Tim Wigglesworth,49,H,Sun,Feb,2013,2012-13,25.53,20.79,46.32,24.06,23.78,24.81,23.59,24.29,19.15,18.95,19.37,24.28,22.14,43.21,42.72,44.19,47.87,21.93,24.64,29.45,23.59,26.0,24.65,20.27,20.64,22.86,27.4,25.6,24.4,34.67,39.0,40.74074074074074%,36.36363636363637%
39,2013-11-30,15:00,London Irish,12,Wasps,19,Madejski Stadium,Dean Richards,31,A,Sat,Nov,2013,2013-14,25.53,20.79,46.32,22.73,23.78,22.18,23.59,24.29,18.47,18.95,19.22,24.28,22.14,41.2,42.72,41.4,47.87,18.33,24.64,20.73,23.59,26.0,18.67,20.27,18.55,22.86,27.4,24.4,26.2,34.67,39.0,40.74074074074074%,36.36363636363637%
40,2015-05-16,15:30,London Irish,40,Wasps,40,Madejski Stadium,JP Doyle,80,D,Sat,May,2015,2014-15,25.53,20.79,46.32,29.94,25.84,27.21,23.59,24.29,22.83,20.54,20.83,24.28,22.14,52.77,46.38,48.04,47.87,32.17,21.22,21.45,23.59,26.0,25.75,28.62,25.91,22.86,27.4,21.0,18.2,34.67,39.0,40.74074074074074%,36.36363636363637%
41,2015-11-28,17:30,London Irish,15,Wasps,33,Twickenham Stadium,Wayne Barnes,48,A,Sat,Nov,2015,2015-16,25.53,20.79,46.32,22.73,25.84,23.9,27.67,24.29,18.47,20.54,19.54,23.38,22.14,41.2,46.38,43.44,51.05,18.33,21.22,18.55,24.33,26.0,18.67,28.62,26.25,21.4,27.4,23.4,31.4,34.67,39.0,40.74074074074074%,36.36363636363637%
42,2017-11-26,15:00,London Irish,13,Wasps,17,Madejski Stadium,Christophe Ridley,30,A,Sun,Nov,2017,2017-18,25.53,20.79,46.32,22.73,27.61,26.46,23.59,24.29,18.47,21.88,22.11,24.28,22.14,41.2,49.49,48.57,47.87,18.33,22.83,19.64,23.59,26.0,18.67,25.64,27.42,22.86,27.4,26.8,30.2,34.67,39.0,40.74074074074074%,36.36363636363637%
43,2020-03-01,14:30,London Irish,26,Wasps,36,Madejski Stadium,Tom Foley,62,A,Sun,Mar,2020,2019-20,25.53,20.79,46.32,25.91,26.97,26.4,23.59,24.29,20.79,21.69,20.47,24.28,22.14,46.7,48.65,46.87,47.87,27.86,17.5,17.55,23.59,26.0,19.53,25.9,22.08,22.86,27.4,21.0,31.0,34.67,39.0,40.74074074074074%,36.36363636363637%
44,2021-06-05,16:30,London Irish,36,Wasps,39,Brentford Community Stadium,Tom Foley,75,A,Sat,Jun,2021,2020-21,25.53,20.79,46.32,35.62,27.48,26.85,27.43,24.29,24.0,23.14,22.77,27.67,22.14,59.62,50.62,49.62,55.1,36.0,28.46,25.7,27.43,26.0,24.5,25.15,26.36,40.5,27.4,24.6,28.0,34.67,39.0,40.74074074074074%,36.36363636363637%
45,2022-05-01,15:00,London Irish,42,Wasps,42,Brentford Community Stadium,Craig Maxwell-Keys,84,D,Sun,May,2022,2021-22,25.53,20.79,46.32,29.94,28.22,27.83,27.43,24.29,22.83,24.39,23.63,27.67,22.14,52.77,52.61,51.46,55.1,32.17,32.3,29.0,27.43,26.0,25.75,24.9,23.0,40.5,27.4,25.8,27.8,34.67,39.0,40.74074074074074%,36.36363636363637%
46,2011-03-27,13:45,Northampton,39,Wasps,3,Franklin's Gardens,N/A,42,H,Sun,Mar,2011,2010-11,25.53,20.79,46.32,25.91,23.01,23.46,27.68,27.65,20.79,18.59,18.07,20.67,22.14,46.7,41.59,41.53,48.35,28.4,27.92,29.18,27.68,31.92,19.53,11.55,12.82,20.58,20.58,22.6,19.8,26.0,27.0,64.66165413533834%,36.36363636363637%
47,2012-03-24,17:45,Northampton,32,Wasps,15,Franklin's Gardens,Tim Wigglesworth,47,H,Sat,Mar,2012,2011-12,25.53,20.79,46.32,25.91,22.83,22.71,27.68,27.65,20.79,18.33,18.7,20.67,22.14,46.7,41.17,41.41,48.35,28.4,24.18,28.27,27.68,31.92,19.53,20.09,15.55,20.58,20.58,28.8,11.2,26.0,27.0,64.66165413533834%,36.36363636363637%
48,2012-09-28,19:45,Northampton,24,Wasps,6,Franklin's Gardens,N/A,30,H,Fri,Sep,2012,2012-13,25.53,20.79,46.32,27.03,22.83,24.81,27.68,27.65,22.25,18.33,19.37,20.67,22.14,49.28,41.17,44.19,48.35,26.75,24.18,23.09,27.68,31.92,23.09,20.09,20.64,20.58,20.58,31.2,23.2,26.0,27.0,64.66165413533834%,36.36363636363637%
49,2014-05-10,15:15,Northampton,74,Wasps,13,Franklin's Gardens,Luke Pearce,87,H,Sat,May,2014,2013-14,25.53,20.79,46.32,29.94,25.03,22.18,27.68,27.65,22.83,20.78,19.22,20.67,22.14,52.77,45.81,41.4,48.35,33.36,33.92,34.33,27.68,31.92,25.75,18.36,18.55,20.58,20.58,28.8,15.8,26.0,27.0,64.66165413533834%,36.36363636363637%
