,date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,hour,day,month,year,season,team1Tries,team1Conversions,team1Penalties,team1DropGoals,team2Tries,team2Conversions,team2Penalties,team2DropGoals,avgLast5Scores,avgLast5ScoresAgainst,avgLast5Bps,avgLast5BpsAgainst,avgLast5Tries,avgLast5Conversions,avgLast5Penalties,avgLast5DropGoals,avgLast5TriesAgainst,avgLast5ConversionsAgainst,avgLast5PenaltiesAgainst,avgLast5DropGoalsAgainst,team1Code,team2Code,monthCode,venueCode,dayCode,refereeCode,seasonCode,targetCode
214,2015-03-29,14:30,London Welsh,14,0,Bath,29,1,Kassam Stadium,Thomas Foley,43,A,14,Sun,Mar,2015,2014-15,2,2,0,0,5,2,0,0,12.0,52.4,0.0,1.0,1.8,1.2,0.2,0.0,7.6,6.0,0.8,0.0,6,0,4,3,2,9,0,0
215,2015-03-29,14:30,Bath,29,1,London Welsh,14,0,Kassam Stadium,Thomas Foley,43,A,14,Sun,Mar,2015,2014-15,5,2,0,0,2,2,0,0,18.8,20.0,0.2,0.2,1.8,1.6,2.2,0.0,2.0,1.4,2.4,0.0,0,6,4,3,2,9,0,0
213,2015-03-29,14:00,Gloucester,6,0,Sale,23,0,AJ Bell Stadium,Matthew Carley,29,H,14,Sun,Mar,2015,2014-15,0,0,2,0,2,2,3,0,28.2,23.2,0.4,0.4,2.6,2.2,3.6,0.0,2.4,1.4,2.8,0.0,2,9,4,0,2,8,0,1
217,2015-04-10,19:45,Bath,29,1,Newcastle,19,0,Kingston Park,JP Doyle,48,A,19,Fri,Apr,2015,2014-15,4,3,1,0,1,1,4,0,16.8,17.6,0.2,0.0,1.8,1.2,1.8,0.0,1.6,1.2,2.4,0.0,0,7,0,5,0,6,0,0
216,2015-04-10,19:45,Newcastle,19,0,Bath,29,1,Kingston Park,JP Doyle,48,A,19,Fri,Apr,2015,2014-15,1,1,4,0,4,3,1,0,18.0,25.8,0.6,0.2,2.4,1.2,1.2,0.0,2.8,2.0,2.6,0.0,7,0,0,5,0,6,0,0
221,2015-04-11,15:15,Leicester,6,0,Saracens,22,0,Allianz Park,Matthew Carley,28,H,15,Sat,Apr,2015,2014-15,0,0,2,0,3,2,1,0,19.8,11.8,0.0,0.8,1.0,0.8,4.2,0.2,1.0,0.4,2.0,0.0,4,10,0,1,1,8,0,1
220,2015-04-11,15:15,Saracens,22,0,Leicester,6,0,Allianz Park,Matthew Carley,28,H,15,Sat,Apr,2015,2014-15,3,2,1,0,0,0,2,0,26.8,17.2,0.4,0.2,2.4,2.0,3.6,0.0,2.2,1.6,1.0,0.0,10,4,0,1,1,8,0,1
218,2015-04-11,15:00,Harlequins,29,0,Gloucester,26,1,Twickenham Stoop,Luke Pearce,55,H,15,Sat,Apr,2015,2014-15,3,1,4,0,3,1,3,0,16.0,29.6,0.2,0.6,1.2,0.8,2.8,0.0,3.2,2.6,2.8,0.0,3,2,0,14,1,7,0,1
219,2015-04-11,15:00,Gloucester,26,1,Harlequins,29,0,Twickenham Stoop,Luke Pearce,55,H,15,Sat,Apr,2015,2014-15,3,1,3,0,3,1,4,0,24.6,23.2,0.4,0.2,2.2,2.0,3.2,0.0,2.2,1.6,3.0,0.0,2,3,0,14,1,7,0,1
225,2015-04-12,14:30,Wasps,40,1,London Welsh,13,0,Kassam Stadium,Greg Garner,53,A,14,Sun,Apr,2015,2014-15,6,5,0,0,2,0,1,0,27.8,25.6,0.4,0.2,3.4,2.4,2.0,0.0,2.8,1.6,2.8,0.0,11,6,0,3,2,3,0,0
226,2015-04-12,15:00,London Irish,25,0,Sale,23,1,Madejski Stadium,Greg Macdonald,48,H,15,Sun,Apr,2015,2014-15,3,2,2,0,3,1,2,0,21.4,17.2,0.8,0.2,2.6,1.8,1.6,0.0,1.6,1.0,2.2,0.2,5,9,0,6,2,4,0,1
224,2015-04-12,14:30,London Welsh,13,0,Wasps,40,1,Kassam Stadium,Greg Garner,53,A,14,Sun,Apr,2015,2014-15,2,0,1,0,6,5,0,0,13.4,50.6,0.0,1.0,2.0,1.4,0.2,0.0,7.4,5.6,0.8,0.0,6,11,0,3,2,3,0,0
227,2015-04-12,15:00,Sale,23,1,London Irish,25,0,Madejski Stadium,Greg Macdonald,48,H,15,Sun,Apr,2015,2014-15,3,1,2,0,3,2,2,0,20.0,13.6,0.2,0.2,2.6,2.0,1.0,0.0,1.2,0.8,2.0,0.0,9,5,0,6,2,4,0,1
222,2015-04-12,14:00,Exeter,21,0,Northampton,10,0,Sandy Park,Wayne Barnes,31,H,14,Sun,Apr,2015,2014-15,2,1,3,0,2,0,0,0,37.2,17.6,0.6,0.0,4.2,3.6,3.0,0.0,1.6,1.2,2.4,0.0,1,8,0,9,2,11,0,1
223,2015-04-12,14:00,Northampton,10,0,Exeter,21,0,Sandy Park,Wayne Barnes,31,H,14,Sun,Apr,2015,2014-15,2,0,0,0,2,1,3,0,27.6,19.6,0.2,0.4,3.4,2.0,2.2,0.0,1.6,1.6,2.8,0.0,8,1,0,9,2,11,0,1
229,2015-04-24,19:45,London Irish,18,0,Bath,43,1,The Recreation Ground,Luke Pearce,61,H,19,Fri,Apr,2015,2014-15,2,1,2,0,5,3,4,0,24.6,18.8,0.6,0.4,3.2,2.2,1.4,0.0,1.8,1.0,2.4,0.2,5,0,0,12,0,7,0,1
228,2015-04-24,19:45,Bath,43,1,London Irish,18,0,The Recreation Ground,Luke Pearce,61,H,19,Fri,Apr,2015,2014-15,5,3,4,0,2,1,2,0,17.8,14.6,0.4,0.0,2.0,1.2,1.8,0.0,1.2,1.0,2.2,0.0,0,5,0,12,0,7,0,1
235,2015-04-25,15:00,London Welsh,17,0,Leicester,38,1,Welford Road,Tim Wigglesworth,55,H,15,Sat,Apr,2015,2014-15,2,2,1,0,6,4,0,0,13.6,48.2,0.0,1.0,2.0,1.2,0.4,0.0,7.0,5.4,0.8,0.0,6,4,0,15,1,10,0,1
234,2015-04-25,15:00,Leicester,38,1,London Welsh,17,0,Welford Road,Tim Wigglesworth,55,H,15,Sat,Apr,2015,2014-15,6,4,0,0,2,2,1,0,17.4,13.2,0.0,0.6,1.0,0.8,3.4,0.2,1.6,0.8,1.2,0.0,4,6,0,15,1,10,0,1
