date,time,team1Name,team1Score,team1Bps,team2Name,team2Score,team2Bps,venue,referee,totalScore,winner,extraTime,hour,day,month,year,season
04/Jan/2015,14:00,Leicester,17,0,Bath,8,0,Welford Road,Matthew Carley,25,H,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:00,Bath,8,0,Leicester,17,0,Welford Road,Matthew Carley,25,H,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:00,Wasps,41,1,Sale,16,0,Ricoh Arena,Greg Garner,57,H,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:00,Sale,16,0,Wasps,41,1,Ricoh Arena,Greg Garner,57,H,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:30,London Welsh,13,0,Harlequins,24,1,Kassam Stadium,JP Doyle,37,A,N,14,Sun,Jan,2015,2014-15
04/Jan/2015,14:30,Harlequins,24,1,London Welsh,13,0,Kassam Stadium,JP Doyle,37,A,N,14,Sun,Jan,2015,2014-15
09/Jan/2015,19:45,Gloucester,24,0,Saracens,23,1,Kingsholm,JP Doyle,47,H,N,19,Fri,Jan,2015,2014-15
09/Jan/2015,19:45,Saracens,23,1,Gloucester,24,0,Kingsholm,JP Doyle,47,H,N,19,Fri,Jan,2015,2014-15
10/Jan/2015,14:00,Sale,20,0,Northampton,7,0,AJ Bell Stadium,Matthew Carley,27,H,N,14,Sat,Jan,2015,2014-15
10/Jan/2015,14:00,Northampton,7,0,Sale,20,0,AJ Bell Stadium,Matthew Carley,27,H,N,14,Sat,Jan,2015,2014-15
10/Jan/2015,15:00,Bath,39,1,Wasps,26,1,The Recreation Ground,Andrew Small,65,H,N,15,Sat,Jan,2015,2014-15
10/Jan/2015,15:00,Wasps,26,1,Bath,39,1,The Recreation Ground,Andrew Small,65,H,N,15,Sat,Jan,2015,2014-15
10/Jan/2015,15:15,Harlequins,32,1,Leicester,12,0,Twickenham Stoop,Luke Pearce,44,H,N,15,Sat,Jan,2015,2014-15
10/Jan/2015,15:15,Leicester,12,0,Harlequins,32,1,Twickenham Stoop,Luke Pearce,44,H,N,15,Sat,Jan,2015,2014-15
11/Jan/2015,14:00,Newcastle,38,1,London Welsh,7,0,Kingston Park,Wayne Barnes,45,H,N,14,Sun,Jan,2015,2014-15
11/Jan/2015,14:00,London Welsh,7,0,Newcastle,38,1,Kingston Park,Wayne Barnes,45,H,N,14,Sun,Jan,2015,2014-15
11/Jan/2015,15:00,London Irish,28,1,Exeter,26,1,Madejski Stadium,Dean Richards,54,H,N,15,Sun,Jan,2015,2014-15
11/Jan/2015,15:00,Exeter,26,1,London Irish,28,1,Madejski Stadium,Dean Richards,54,H,N,15,Sun,Jan,2015,2014-15
13/Feb/2015,19:45,Leicester,18,0,Gloucester,15,1,Welford Road,JP Doyle,33,H,N,19,Fri,Feb,2015,2014-15
13/Feb/2015,19:45,Gloucester,15,1,Leicester,18,0,Welford Road,JP Doyle,33,H,N,19,Fri,Feb,2015,2014-15
13/Feb/2015,19:45,Northampton,15,0,London Irish,9,1,Franklin's Gardens,Andrew Small,24,H,N,19,Fri,Feb,2015,2014-15
13/Feb/2015,19:45,London Irish,9,1,Northampton,15,0,Franklin's Gardens,Andrew Small,24,H,N,19,Fri,Feb,2015,2014-15
14/Feb/2015,16:30,Exeter,46,1,Newcastle,17,0,Sandy Park,Thomas Foley,63,H,N,16,Sat,Feb,2015,2014-15
14/Feb/2015,16:30,Newcastle,17,0,Exeter,46,1,Sandy Park,Thomas Foley,63,H,N,16,Sat,Feb,2015,2014-15
15/Feb/2015,13:00,London Welsh,12,0,Sale,52,1,Kassam Stadium,Tim Wigglesworth,64,A,N,13,Sun,Feb,2015,2014-15
15/Feb/2015,13:00,Sale,52,1,London Welsh,12,0,Kassam Stadium,Tim Wigglesworth,64,A,N,13,Sun,Feb,2015,2014-15
15/Feb/2015,13:00,Saracens,34,0,Bath,24,0,Allianz Park,Luke Pearce,58,H,N,13,Sun,Feb,2015,2014-15
15/Feb/2015,13:00,Bath,24,0,Saracens,34,0,Allianz Park,Luke Pearce,58,H,N,13,Sun,Feb,2015,2014-15
